column,path,key,max_score
XLSUM_ja_1shot,ja/xlsum/xlsum_1shot_allcases/score_xlsum.json,results.xlsum_ja.rouge2,100
MATH (mgsm_ja),ja/mgsm/math_4shot_allcases/score_math.json,results.mgsm.acc,1
wmt20_en_ja_bleu,ja/wmt20_en_ja/wmt20_en_ja_4shot_allcases/score_wmt20_en_ja.json,results.wmt20-en-ja.bleu,100
wmt20_ja_en_bleu,ja/wmt20_ja_en/wmt20_ja_en_4shot_allcases/score_wmt20_ja_en.json,results.wmt20-ja-en.bleu,100
humaneval@1,en/humaneval/metrics.json,humaneval.pass@1,1
humaneval@10,en/humaneval/metrics.json,humaneval.pass@10,1
jhumaneval@1,ja/humaneval/metrics.json,humaneval.pass@1,1
jhumaneval@10,ja/humaneval/metrics.json,humaneval.pass@10,1
MC,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,x,1
NLI,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,x,1
QA,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,x,1
RC,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,x,1
jamp (NLI),ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jamp_exact_match,1
janli (NLI),ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.janli_exact_match,1
jcommonsenseqa,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jcommonsenseqa_exact_match,1
jemhopqa,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jemhopqa_char_f1,1
jnli,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jnli_exact_match,1
jsem,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jsem_exact_match,1
jsick (NLI),ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jsick_exact_match,1
jsquad,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jsquad_char_f1,1
jsts_pearson,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jsts_pearson,1
jsts_spearman,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.jsts_spearman,1
niilc,ja/llmjp/4shot_-1cases/llm_jp_eval_general.json,scores.niilc_char_f1,1
gsm8k,en/harness_en/alltasks_4shot_allcases/general/results.json,"results.gsm8k.exact_match,strict-match",1
